X,Y
0,26.9788
1,25.7475
2,26.2908
3,26.3322
4,26.0194
5,25.3751
6,25.3324
7,25.6441
8,25.6636
9,25.0411
10,25.9360
11,25.3747
12,25.3343
13,25.6459
14,25.6667
15,25.3533
16,26.2684
17,26.3322
18,26.3323
19,25.7089
20,25.3555
21,25.6455
22,25.9787
23,26.0000
24,25.6900
25,25.3568
26,25.6453
27,25.9794
28,26.0001
29,25.6883
30,25.6647
31,25.3549
32,25.9545
33,25.6884
34,25.6667
35,25.9771
36,26.3094
37,26.0200
38,25.6886
39,26.2900
40,26.6455
41,26.0474
42,26.3122
43,26.9535
44,26.0660
45,25.6871
46,25.3547
47,25.3342
48,25.6451
49,25.9784
50,26.3107
51,27.2623
52,27.6398
53,26.1119
54,25.6884
55,25.3552
56,25.9511
57,25.9979
58,25.6896
59,25.6667
60,25.6676
61,25.6667
62,25.6667
63,25.6686
64,26.2867
65,26.3314
66,26.3322
67,25.7146
68,25.0472
69,25.6175
70,25.9752
71,25.6903
72,25.6667
73,25.9771
74,25.6906
75,25.6676
76,25.0490
77,24.6917
78,24.9760
79,25.9248
80,25.6906
81,26.2830
82,27.2575
83,26.4051
84,26.9493
85,26.6890
86,25.7399
87,25.3578
88,25.3343
89,25.6431
90,25.9754
91,26.0000
92,26.3076
93,26.3323
94,25.7163
95,25.3592
96,25.6418
97,25.9759
98,26.6157
99,26.0501
100,26.3072
101,25.1008
102,25.0000
103,25.0010
104,25.3081
105,25.6413
106,25.9755
107,26.3069
108,25.4109
109,25.3344
110,25.9469
111,25.6922
112,26.2818
113,26.6399
114,27.2787
115,27.0247
116,26.3861
117,25.7216
118,25.6669
119,25.6667
120,25.9729
121,26.6113
122,26.6655
123,26.6666
124,26.6667
125,26.6657
126,26.6656
127,26.3578
128,25.7196
129,25.3618
130,25.6411
131,26.2800
132,26.3333
133,26.6370
134,26.9719
135,26.3880
136,26.3353
137,26.3354
138,26.3335
139,26.0271
140,25.6938
141,25.3615
142,26.2517
143,27.2514
144,27.3324
145,26.7204
146,26.9706
147,26.6930
148,26.0550
149,26.0000
150,26.0000
151,26.6103
152,26.6675
153,26.6668
154,26.6676
155,26.0568
156,25.6985
157,25.6689
158,26.2784
159,26.3344
160,25.1136
161,25.9165
162,26.6103
163,26.3645
164,26.6405
165,26.0589
166,27.2188
167,27.0293
168,26.0876
169,26.3040
170,26.9407
171,26.9998
172,27.0000
173,26.6955
174,26.0586
175,26.0010
176,26.0010
177,26.6088
178,26.9700
179,26.9999
180,27.0000
181,26.3927
182,26.9407
183,27.3021
184,27.9374
185,26.4818
186,26.6384
187,26.9697
188,27.0018
189,27.6086
190,28.2760
191,28.9418
192,30.5209
193,34.3086
194,38.6130
195,45.0701
196,51.4304
197,55.9435
198,60.2791
199,64.9125
200,63.2100
201,54.8138
202,47.0266
203,43.3045
204,41.4842
205,38.6067
206,35.9101
207,33.2448
208,32.3935
209,31.7296
210,31.0624
211,30.0940
212,29.7004
213,29.6707
214,29.3683
215,29.0322
216,29.0001
217,29.6047
218,29.3662
219,29.3363
220,30.8447
221,31.9037
222,31.3936
223,31.0301
224,31.6049
225,31.6677
226,31.3649
227,31.0333
228,30.6984
229,30.3649
230,30.3352
231,30.3335
232,30.9366
233,30.0981
234,30.3018
235,30.6329
236,30.6646
237,29.1597
238,28.3983
239,28.3325
240,28.3323
241,27.7328
242,27.6678
243,27.6668
244,27.9658
245,27.9998
246,27.0991
247,27.0002
248,27.0000
249,26.6992
250,26.3669
251,26.0356
252,26.6034
253,26.3691
254,26.3355
255,25.4321
256,25.6300
257,25.3640
258,25.9347
259,27.2012
260,27.6326
261,27.3655
262,26.1328
263,27.1984
264,27.6331
265,27.9676
266,28.9017
267,30.7994
268,32.1984
269,33.5314
270,35.4649
271,35.9673
272,36.0020
273,37.7986
274,38.8977
275,39.2994
276,40.8305
277,42.1975
278,42.9329
279,44.4956
280,44.9667
281,44.1054
282,44.0031
283,46.0948
284,48.4238
285,48.6636
286,48.6663
287,50.1583
288,50.6337
289,50.9684
290,52.7945
291,53.3007
292,53.6331
293,54.2639
294,54.0367
295,55.4945
296,56.8606
297,57.8951
298,58.5976
299,59.2596
300,59.6283
301,60.8581
302,62.7859
303,63.2950
304,63.3330
305,64.2264
306,64.9309
307,65.0039
308,66.7874
309,67.8943
310,70.3838
311,73.3470
312,78.1304
313,83.4260
314,86.6776
315,90.8682
316,92.5269
317,93.2619
318,94.2272
319,94.9318
320,95.3005
321,95.3337
322,94.7381
323,94.0705
324,92.2176
325,89.9248
326,87.5932
327,85.8504
328,83.2912
329,78.5499
330,73.2542
331,68.5151
332,65.9256
333,64.1830
334,62.8128
335,61.4797
336,60.4421
337,57.9647
338,56.7798
339,56.6669
340,56.3723
341,56.6279
342,54.8877
343,53.4821
344,52.7403
345,51.7786
346,50.7798
347,49.4850
348,47.8580
349,47.9629
350,47.1109
351,45.2256
352,43.2280
353,42.1125
354,41.4070
355,40.1493
356,39.7025
357,39.6637
358,39.6636
359,38.1871
360,37.1130
361,36.4113
362,34.8587
363,34.0757
364,32.5246
365,31.4493
366,30.7417
367,29.7826
368,29.0780
369,28.7062
370,28.9615
371,28.7062
372,27.7847
373,27.0786
374,27.5856
375,27.3699
376,27.0368
377,25.8212
378,25.3722
379,26.2153
380,26.9217
381,26.7058
382,25.7842
383,25.6667
384,25.0804
385,25.5883
386,25.6685
387,25.6669
388,25.6676
389,25.6677
390,26.2525
391,26.3322
392,25.7450
393,26.5464
394,26.3703
395,26.3302
396,25.7451
397,25.6684
398,25.9612
399,26.2934
400,25.7486
401,25.3773
402,26.5074
403,26.9590
404,27.8772
405,27.7058
406,27.6665
407,28.5445
408,28.3737
409,28.0423
410,27.7102
411,28.5443
412,28.9592
413,29.2935
414,29.3335
415,29.9174
416,29.9999
417,29.7085
418,29.3762
419,29.6286
420,30.5429
421,29.7917
422,29.6660
423,29.6665
424,29.9596
425,29.7081
426,29.3747
427,29.6234
428,29.3745
429,29.6251
430,29.6676
431,30.5410
432,31.2499
433,31.6250
434,33.4134
435,36.2881
436,38.4152
437,38.9590
438,40.7492
439,46.8256
440,52.6181
441,53.6264
442,51.3403
443,48.3821
444,45.9628
445,42.7556
446,39.1307
447,35.4654
448,30.9304
449,28.5888
450,27.7518
451,26.5038
452,27.2044
453,26.4622
454,25.7523
455,25.6658
456,25.9552
457,25.9997
458,26.2904
459,26.9140
460,26.7079
461,26.3753
462,26.3332
463,26.6217
464,26.0853
465,25.7116
466,25.9578
467,26.8699
468,26.4211
469,26.3326
470,26.0443
471,25.7113
472,25.9565
473,25.7095
474,25.9543
475,26.2875
476,26.0436
477,26.2885
478,25.4678
479,25.3337
480,26.1994
481,25.7546
482,24.8027
483,25.5346
484,25.6667
485,25.6667
486,25.3786
487,25.3335
488,25.3333
489,25.0454
490,25.0010
491,25.2898
492,26.7751
493,26.7120
494,26.6677
495,26.3783
496,26.0448
497,25.4249
498,25.6220
499,25.9541
500,26.8629
501,26.9979
502,25.8470
503,25.0913
504,25.0001
505,24.4230
506,24.6203
507,24.9545
508,25.5740
509,25.9533
510,25.7112
511,25.3779
512,25.0455
513,25.5744
514,25.6665
515,25.3809
516,25.6229
517,25.9553
518,25.4271
519,25.0481
520,25.0012
521,25.8592
522,25.7106
523,25.0930
524,25.8632
525,26.5744
526,26.3815
527,26.0476
528,26.0001
529,25.7123
530,25.6665
531,26.2384
532,26.3330
533,26.3333
534,25.7601
535,25.6667
536,25.3802
537,25.3333
538,25.6197
539,26.8103
540,25.8563
541,25.6678
542,25.9512
543,25.4274
544,25.9038
545,26.2849
546,26.3305
547,24.9023
548,24.3806
549,24.9050
550,25.2858
551,25.0494
552,25.2851
553,24.7637
554,25.2364
555,25.0466
556,25.2862
557,25.0489
558,25.0010
559,25.8562
560,26.2853
561,25.7664
562,25.3856
563,25.6217
564,25.0978
565,24.4300
566,24.3316
567,25.1879
568,25.3333
569,25.3307
570,24.7633
571,24.9514
572,25.2838
573,25.3332
574,25.9017
575,25.4307
576,25.0497
577,25.2846
578,24.7654
579,24.6686
580,26.0894
581,26.3361
582,26.3347
583,26.0484
584,25.9990
585,26.2839
586,26.3333
587,26.3325
588,26.0475
589,25.9979
590,25.4303
591,24.7646
592,24.3837
593,24.3361
594,24.3347
595,24.9015
596,25.2845
597,25.6170
598,25.9501
599,26.0000
600,25.9982
601,25.9988
602,25.9990
603,25.9990
604,25.1531
605,24.7192
606,24.9500
607,25.0000
608,25.5641
609,25.1006
610,24.7181
611,24.3849
612,24.3352
613,24.8990
614,25.0000
615,25.5651
616,25.1025
617,24.7203
618,24.6698
619,24.3857
620,24.3361
621,24.6187
622,24.9529
623,25.5650
624,25.3845
625,25.3316
626,25.6159
627,25.6686
628,25.9489
629,26.2819
630,26.0533
631,25.4359
632,24.4898
633,25.1795
634,25.8967
635,25.7158
